Date,Open,High,Low,Close,Volume
2015-01-05,945.05,954.05,942.47,951.63,153057.28,
2015-01-06,952.39,952.39,934.8,937.84,293720.24,
2015-01-08,936.57,946.87,925.76,944.29,352694.27,
2015-01-09,943.18,943.18,896.41,899.88,243238.1,
2015-01-12,898.76,899.75,878.18,885.56,370262.61,
2015-01-13,885.77,886.25,876.91,884.17,556824.88,
2015-01-14,884.96,884.96,852.53,862.33,267779.78,
2015-01-15,864.71,864.83,827.96,835.41,328469.31,
2015-01-16,839.33,853.49,836.42,853.49,425074.68,
2015-01-19,851.9,860.43,846.96,860.43,163472.11,
2015-01-20,864.94,864.94,844.36,855.61,251508.22,
2015-01-21,859.53,872.56,857.34,868.53,367796.83,
2015-01-22,869.01,876.86,869.01,871.3,138184.4,
2015-01-23,869.57,884.79,867.42,883.6,399978.6,
2015-01-26,881.21,881.21,863.62,868.53,197782.29,
2015-01-27,869.17,871.77,865.63,867.2,240947.06,
2015-01-28,861.9,865.2,852.26,856.39,301964.56,
2015-01-29,856.93,861.57,842.51,843.91,358860.79,
2015-01-30,845.09,845.49,824.27,826.5,238201.58,
2015-02-02,821.97,824.21,812.71,819.23,302454.53,
2015-02-03,819.23,823.28,815.47,822.46,206914.43,
2015-02-04,822.47,847.81,822.47,843.05,224435.48,
2015-02-05,840.2,840.48,833.56,836.23,259405.2,
2015-02-06,839.41,848.96,839.13,844.93,444105.29,
2015-02-09,844.93,844.93,820.36,826.04,473587.18,
2015-02-10,827.48,833.38,813.67,817.04,665083.27,
2015-02-11,817.27,823.93,809.2,818.81,474500.23,
2015-02-12,821.27,830.22,816.35,827.88,211044.55,
2015-02-13,826.68,838.58,826.18,837.54,411821.44,
2015-02-16,838.91,849.2,833.41,849.2,628911.92,
2015-02-17,847.57,849.65,832,839.6,271545.91,
2015-02-18,842.31,847.77,832.5,833.08,430376.75,
2015-02-19,831.88,835.01,826.85,827.01,225429.84,
2015-02-20,829.55,836.83,829.55,834.12,55218.84,
2015-02-23,833.57,834.62,827.57,830.31,314072.73,
2015-02-24,830.76,831.87,822.35,822.68,274597.5,
2015-02-25,821.85,828.19,820.7,825.62,242190.97,
2015-02-26,827.26,831.98,821.6,827.34,181869.5,
2015-02-27,828.73,829.7,824.47,826.28,140084.34,
2015-03-02,826.27,826.92,819.35,819.46,94021.5,
2015-03-03,819.14,824.3,818.63,819.53,120343.83,
2015-03-04,819.53,829.19,813.35,814.05,279423.36,
2015-03-05,814.85,815.1,812.81,813.02,136541.91,
2015-03-06,812.2,814.19,799.95,809.93,176980.88,
2015-03-10,809.76,810.23,795.84,796.69,164473.08,
2015-03-11,797.34,799.63,790.44,793.23,246365.44,
2015-03-12,789.05,796.78,787.6,794.82,236037.23,
2015-03-13,795.91,798.1,786.63,786.63,172295.46,
2015-03-16,787.15,787.15,770.37,772.39,202325.11,
2015-03-17,772.39,773.53,765.52,765.52,189826.9,
2015-03-18,765.52,766.72,759.55,760.95,189165.32,
2015-03-19,761.11,785.24,761.11,785.24,169573.25,
2015-03-20,790.73,813.6,790.72,809.12,331094.35,
2015-03-26,811.45,825.5,807.29,822.13,202538.21,
2015-03-27,821.65,824.78,816.36,824.78,308238.07,
2015-03-30,823.89,823.89,807.1,809.09,279468.51,
2015-03-31,803.08,809.35,800.01,804.25,672923.92,
2015-04-01,805.91,812.26,802.94,811.41,102268.12,
2015-04-02,810.63,815.64,806.47,815.5,521592.43,
2015-04-03,815.51,828.32,814.04,828.32,631491.37,
2015-04-06,827.6,833.53,823.63,829.91,192937.35,
2015-04-07,829.1,837.76,829.1,837.42,284022.21,
2015-04-08,834.01,834.01,813.19,821.14,393196.53,
2015-04-09,822.72,824.82,818.34,824.82,306151.99,
2015-04-10,825.4,837.49,825.4,837.13,353549.93,
2015-04-13,837.13,838.46,833.53,836.71,386926.33,
2015-04-14,836.71,843.11,835.04,841.84,404687.46,
2015-04-15,841.84,849.51,840.6,843.68,403433.75,
2015-04-16,842.76,857.28,842.76,848,312783.7,
2015-04-17,848.11,863.85,847.93,853.97,425333,
2015-04-20,853.86,853.86,833.85,835.19,252397.92,
2015-04-21,834.99,836.48,825.94,826.13,363622.87,
2015-04-22,826.13,826.68,815.73,825.45,245705.42,
2015-04-23,827,827,815.21,820.12,173354.5,
2015-04-24,820.07,847.9,816.68,842.43,438506.32,
